agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
16348,2660,2354,7,5,MANDATORY,1421001
16349,809,2354,8,4,MANDATORY,7733412
16350,1705,2354,8,3,INDIVIDUAL_NON_MANDATORY,1461448
16351,884,2354,7,1,MANDATORY,5675998
16352,1383,2354,7,0,MANDATORY,5675999
16353,1510,2354,7,5,MANDATORY,159120
16354,888,2354,8,2,INDIVIDUAL_NON_MANDATORY,3011729
16355,1275,2354,8,3,MANDATORY,1770848
16356,1743,837,7,1,INDIVIDUAL_NON_MANDATORY,1770848
16357,417,1381,8,2,INDIVIDUAL_NON_MANDATORY,1770848
16358,1499,2354,8,1,MANDATORY,5676021
16359,1523,2354,8,0,INDIVIDUAL_NON_MANDATORY,7524463
16360,1526,2354,8,4,INDIVIDUAL_NON_MANDATORY,7872310
16361,2275,2354,8,2,INDIVIDUAL_NON_MANDATORY,4762928
16362,2496,2354,8,3,MANDATORY,4762931
16363,503,2354,7,5,MANDATORY,1400118
16364,1499,2354,7,4,MANDATORY,669479
16365,807,2354,8,4,MANDATORY,5485794
16366,1381,2354,8,2,MANDATORY,5485795
16367,2028,2354,8,3,MANDATORY,5485702
16368,505,2354,7,1,MANDATORY,5485703
16369,2496,2354,8,5,INDIVIDUAL_NON_MANDATORY,1420997
16370,2355,1383,8,3,INDIVIDUAL_NON_MANDATORY,1420997
16371,885,2354,8,1,INDIVIDUAL_NON_MANDATORY,3705261
16372,1485,2354,8,4,MANDATORY,2013434
16373,1107,2354,7,1,MANDATORY,2013435
16374,504,2354,8,5,MANDATORY,3054898
16375,1742,2354,7,0,INDIVIDUAL_NON_MANDATORY,5170307
16376,887,2354,7,3,MANDATORY,3186783
16377,1411,2354,7,1,MANDATORY,1770832
16378,1884,280,8,2,MANDATORY,1770832
16379,1486,2354,8,4,INDIVIDUAL_NON_MANDATORY,3122253
16380,1498,2354,7,4,INDIVIDUAL_NON_MANDATORY,3186797
16381,2355,1944,8,5,INDIVIDUAL_NON_MANDATORY,3186797
16382,116,1542,8,5,INDIVIDUAL_NON_MANDATORY,3186797
16383,2173,1498,8,5,INDIVIDUAL_NON_MANDATORY,3186797
16384,2336,326,7,0,INDIVIDUAL_NON_MANDATORY,7872318
16385,1442,2354,7,1,MANDATORY,3274087
16386,1272,2354,7,1,MANDATORY,5205698
16387,1435,1551,7,5,MANDATORY,5205699
16388,882,2147,7,3,MANDATORY,5205700
16389,1820,1992,8,2,MANDATORY,5205701
16390,1819,2354,8,5,MANDATORY,5205704
16391,1410,2354,8,5,MANDATORY,1927987
16392,2631,2354,7,1,MANDATORY,5219621
16393,1273,329,8,1,INDIVIDUAL_NON_MANDATORY,5219622
16394,1531,843,7,3,MANDATORY,5219623
16395,2275,2566,7,2,MANDATORY,5219625
16396,1444,2354,7,0,MANDATORY,5219626
16397,890,2659,8,5,INDIVIDUAL_NON_MANDATORY,1690364
16398,1527,2354,7,4,INDIVIDUAL_NON_MANDATORY,7681370
16399,1820,2354,7,4,INDIVIDUAL_NON_MANDATORY,7681371
16400,1520,2354,7,4,MANDATORY,1770930
16401,887,1212,8,3,MANDATORY,5112274
16402,1527,2354,8,0,MANDATORY,5020495
16403,1443,2354,7,5,MANDATORY,1927990
16404,1410,2354,7,2,MANDATORY,1927991
16405,507,2354,8,2,MANDATORY,5774014
16406,2534,2354,7,5,MANDATORY,5774015
16407,1485,2354,7,4,MANDATORY,5774016
16408,1272,2354,8,1,INDIVIDUAL_NON_MANDATORY,7733484
16409,1443,2354,7,1,MANDATORY,7733485
16410,1946,2607,8,2,INDIVIDUAL_NON_MANDATORY,1367086
16411,1889,1120,8,0,INDIVIDUAL_NON_MANDATORY,7733480
16412,2430,2354,8,2,MANDATORY,7733481
16413,509,2354,7,2,MANDATORY,6046414
16414,1519,2354,7,4,MANDATORY,6046415
16415,2275,2354,8,1,INDIVIDUAL_NON_MANDATORY,5205649
16416,1661,117,8,2,INDIVIDUAL_NON_MANDATORY,5205654
